scheme_name,state_ministry,description,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tags,combined_text,scheme_link
Scheme for Upgradation of Gaushala/ Panjrapole,Gujarat,"The ""Scheme for Upgradation of Gaushala/ Panjrapole""  aims to promote indigenous cow breeds and make cow rearing economically viable.",Agriculture,Animal Husbandry,Cattle Development,,,,"Agriculture, Animal Husbandry, Cattle Development","Scheme for Upgradation of Gaushala/ Panjrapole Gujarat The ""Scheme for Upgradation of Gaushala/ Panjrapole""  aims to promote indigenous cow breeds and make cow rearing economically viable. Agriculture, Animal Husbandry, Cattle Development",https://www.myscheme.gov.in/schemes/sfugp
Scheme for the Welfare of Schedule Caste Families in Fisheries Sector: Subsidy on 1st Year Lease Money,Haryana,The objective of the scheme is to provide full-time employment to individuals from Scheduled Caste families in the fisheries sector and to uplift these families by promoting fish farming through financial assistance for leasing Panchayati ponds or watershed areas.,Fish Farming,Lease Money,Pond,Schedule Caste,Subsidy,,"Fish Farming, Lease Money, Pond, Schedule Caste, Subsidy","Scheme for the Welfare of Schedule Caste Families in Fisheries Sector: Subsidy on 1st Year Lease Money Haryana The objective of the scheme is to provide full-time employment to individuals from Scheduled Caste families in the fisheries sector and to uplift these families by promoting fish farming through financial assistance for leasing Panchayati ponds or watershed areas. Fish Farming, Lease Money, Pond, Schedule Caste, Subsidy",https://www.myscheme.gov.in/schemes/so1ylm
Scheme for the Welfare of Schedule Caste Families in Fisheries Sector: Subsidy on 2nd Year to 5th Year Lease Money,Haryana,The objective of the scheme is to provide full-time employment to individuals from Scheduled Caste families in the fisheries sector and uplift their economic status by promoting fish farming through financial assistance for leasing Panchayati ponds or watershed areas.,Fish,Fish Farming,Fisheries,Lease,Scheduled Caste,Subsidy,"Fish, Fish Farming, Fisheries, Lease, Scheduled Caste, Subsidy","Scheme for the Welfare of Schedule Caste Families in Fisheries Sector: Subsidy on 2nd Year to 5th Year Lease Money Haryana The objective of the scheme is to provide full-time employment to individuals from Scheduled Caste families in the fisheries sector and uplift their economic status by promoting fish farming through financial assistance for leasing Panchayati ponds or watershed areas. Fish, Fish Farming, Fisheries, Lease, Scheduled Caste, Subsidy",https://www.myscheme.gov.in/schemes/so2yt5ylm
Scheme for the Welfare of Schedule Caste Families in Fisheries Sector: Subsidy on Annual Auction of Notified Waters,Haryana,The objective of the scheme is to provide full-time employment to individuals from Scheduled Caste families in the fisheries sector and uplift their socio-economic status by promoting fish farming through subsidization of fishing contract costs in designated water bodies.,Auction,Financial Assistance,Fish Culture,Subsidy,Waters,,"Auction, Financial Assistance, Fish Culture, Subsidy, Waters","Scheme for the Welfare of Schedule Caste Families in Fisheries Sector: Subsidy on Annual Auction of Notified Waters Haryana The objective of the scheme is to provide full-time employment to individuals from Scheduled Caste families in the fisheries sector and uplift their socio-economic status by promoting fish farming through subsidization of fishing contract costs in designated water bodies. Auction, Financial Assistance, Fish Culture, Subsidy, Waters",https://www.myscheme.gov.in/schemes/faotaaonw
Scheme of Assistance for Common Environment Infrastructure: Financial Assistance for Common Environmental Infrastructure Facilities,Gujarat,"The scheme ""Scheme of Assistance for Common Environment Infrastructure"" under the Gujarat Industrial Policy aims to provide incentives for environmental compliance to ensure long-term economic and ecological balance.",Entrepreneurship,Environment Infrastructure,,,,,"Entrepreneurship, Environment Infrastructure","Scheme of Assistance for Common Environment Infrastructure: Financial Assistance for Common Environmental Infrastructure Facilities Gujarat The scheme ""Scheme of Assistance for Common Environment Infrastructure"" under the Gujarat Industrial Policy aims to provide incentives for environmental compliance to ensure long-term economic and ecological balance. Entrepreneurship, Environment Infrastructure",https://www.myscheme.gov.in/schemes/saceieif
Scheme of Assistance for Common Environment Infrastructure: Scheme for Development of Green Estate,Gujarat,"The ""Scheme of Assistance for Common Environment Infrastructure"" under the Gujarat Industrial Policy aims to provide incentives for environmental compliance to ensure long-term economic and ecological balance.",Development Of Green Estate,Entrepreneurship,Environment Infrastructure,,,,"Development Of Green Estate, Entrepreneurship, Environment Infrastructure","Scheme of Assistance for Common Environment Infrastructure: Scheme for Development of Green Estate Gujarat The ""Scheme of Assistance for Common Environment Infrastructure"" under the Gujarat Industrial Policy aims to provide incentives for environmental compliance to ensure long-term economic and ecological balance. Development Of Green Estate, Entrepreneurship, Environment Infrastructure",https://www.myscheme.gov.in/schemes/saceidge
Scheme of Assistance for Common Environment Infrastructure: Scheme of Assistance for Strengthening the Regulation and Environmental Compliance,Gujarat,"The scheme ""Scheme of Assistance for Common Environment Infrastructure"" under the Gujarat Industrial Policy aims to provide incentives for environmental compliance to ensure long-term economic and ecological balance.",Entrepreneurship,Environment Infrastructure,Environmental Compliance,,,,"Entrepreneurship, Environment Infrastructure, Environmental Compliance","Scheme of Assistance for Common Environment Infrastructure: Scheme of Assistance for Strengthening the Regulation and Environmental Compliance Gujarat The scheme ""Scheme of Assistance for Common Environment Infrastructure"" under the Gujarat Industrial Policy aims to provide incentives for environmental compliance to ensure long-term economic and ecological balance. Entrepreneurship, Environment Infrastructure, Environmental Compliance",https://www.myscheme.gov.in/schemes/saceiasre
Scheme of Assistance for Environment Protection Measures: Scheme for assistance to Environment Management,Gujarat,"The ""Scheme of Assistance for Environment Protection Measures"" under the Gujarat Industrial Policy promotes sustainable industrial growth by supporting industries in adopting eco-friendly practices and ensuring compliance with environmental norms, effective from August 7th, 2020 to August 6th, 2025.",Business,Energy Conservation,Entrepreneurship,Environmental Compliance,Environmental Management,,"Business, Energy Conservation, Entrepreneurship, Environmental Compliance, Environmental Management","Scheme of Assistance for Environment Protection Measures: Scheme for assistance to Environment Management Gujarat The ""Scheme of Assistance for Environment Protection Measures"" under the Gujarat Industrial Policy promotes sustainable industrial growth by supporting industries in adopting eco-friendly practices and ensuring compliance with environmental norms, effective from August 7th, 2020 to August 6th, 2025. Business, Energy Conservation, Entrepreneurship, Environmental Compliance, Environmental Management",https://www.myscheme.gov.in/schemes/saepaep
Scheme of Assistance for Environment Protection Measures: Scheme for assistance to encouraging Green Practices and Environmental Audit to MSMEs,Gujarat,"The ""Scheme of Assistance for Environment Protection Measures"" under the Gujarat Industrial Policy promotes sustainable industrial growth by supporting industries in adopting eco-friendly practices and ensuring compliance with environmental norms, effective from August 7th, 2020 to August 6th, 2025.",Business,Entrepreneurship,Environmental Compliance,Environmental Management,Green Practices,,"Business, Entrepreneurship, Environmental Compliance, Environmental Management, Green Practices","Scheme of Assistance for Environment Protection Measures: Scheme for assistance to encouraging Green Practices and Environmental Audit to MSMEs Gujarat The ""Scheme of Assistance for Environment Protection Measures"" under the Gujarat Industrial Policy promotes sustainable industrial growth by supporting industries in adopting eco-friendly practices and ensuring compliance with environmental norms, effective from August 7th, 2020 to August 6th, 2025. Business, Entrepreneurship, Environmental Compliance, Environmental Management, Green Practices",https://www.myscheme.gov.in/schemes/saepegp
Scheme of Assistance for Management of Stray Cattle,Gujarat,This scheme provides financial support to local self-government bodies and registered Panjrapoles to reduce or eradicate the problem of stray cattle by encouraging their maintenance and proper care.,Agriculture,Animal Husbandry,Stray Cattle,,,,"Agriculture, Animal Husbandry, Stray Cattle","Scheme of Assistance for Management of Stray Cattle Gujarat This scheme provides financial support to local self-government bodies and registered Panjrapoles to reduce or eradicate the problem of stray cattle by encouraging their maintenance and proper care. Agriculture, Animal Husbandry, Stray Cattle",https://www.myscheme.gov.in/schemes/samsc
Scheme of Production of Domestic Indigenous Certified Seed of Cotton Varieties,Gujarat,"The ""Scheme of Production of Domestic Indigenous Certified Seed of Cotton Varieties""  introduced by the Agriculture, Farmers Welfare and Cooperation Department, aims to promote the cultivation and production of local cotton seed varieties across Gujarat.",Agriculture,Cotton Seed,Farmer,Subsidy,,,"Agriculture, Cotton Seed, Farmer, Subsidy","Scheme of Production of Domestic Indigenous Certified Seed of Cotton Varieties Gujarat The ""Scheme of Production of Domestic Indigenous Certified Seed of Cotton Varieties""  introduced by the Agriculture, Farmers Welfare and Cooperation Department, aims to promote the cultivation and production of local cotton seed varieties across Gujarat. Agriculture, Cotton Seed, Farmer, Subsidy",https://www.myscheme.gov.in/schemes/spdicv
Scheme of Providing Assistance to Encourage Farmers for Adoption of Organic Farming,Gujarat,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat. It aims to promote organic farming by providing financial assistance to farmers for certification, input subsidies, and residue testing.",Agriculture,Farmer,Organic Farming,,,,"Agriculture, Farmer, Organic Farming","Scheme of Providing Assistance to Encourage Farmers for Adoption of Organic Farming Gujarat This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat. It aims to promote organic farming by providing financial assistance to farmers for certification, input subsidies, and residue testing. Agriculture, Farmer, Organic Farming",https://www.myscheme.gov.in/schemes/spafof
Scheme on Promotion of Use of Liquid Fermented Organic Manure (LFOM) for Increasing Organic Carbon in Soil,Gujarat,"The ""Scheme on Promotion of Use of Liquid Fermented Organic Manure (LFOM) for Increasing Organic Carbon in Soil"" offers financial assistance to promote the use of Liquid Fermented Organic Manure (LFOM) and enhance organic carbon levels in soil.",Agriculture,Liquid Manure,Organic Farming,Soil Health,,,"Agriculture, Liquid Manure, Organic Farming, Soil Health","Scheme on Promotion of Use of Liquid Fermented Organic Manure (LFOM) for Increasing Organic Carbon in Soil Gujarat The ""Scheme on Promotion of Use of Liquid Fermented Organic Manure (LFOM) for Increasing Organic Carbon in Soil"" offers financial assistance to promote the use of Liquid Fermented Organic Manure (LFOM) and enhance organic carbon levels in soil. Agriculture, Liquid Manure, Organic Farming, Soil Health",https://www.myscheme.gov.in/schemes/splfom
Scheme to Assist for Infrastructural Facilities for Gaushalas & Panjrapole,Gujarat,"""Scheme to Assist for Infrastructural Facilities for Gaushalas & Panjrapole"" aims to support animal welfare organizations like gaushalas and panjrapoles by offering financial assistance for the development and construction of essential infrastructure.",Agriculture,Animal Husbandry,Animal Welfare,Infrastructural Facilities,,,"Agriculture, Animal Husbandry, Animal Welfare, Infrastructural Facilities","Scheme to Assist for Infrastructural Facilities for Gaushalas & Panjrapole Gujarat ""Scheme to Assist for Infrastructural Facilities for Gaushalas & Panjrapole"" aims to support animal welfare organizations like gaushalas and panjrapoles by offering financial assistance for the development and construction of essential infrastructure. Agriculture, Animal Husbandry, Animal Welfare, Infrastructural Facilities",https://www.myscheme.gov.in/schemes/saifgp
Scheme to Encourage Farmers to Add Value to Crops,Gujarat,The scheme provides financial assistance to farmers across Gujarat in adding value to their crops by providing financial assistance for purchasing machinery.,Agriculture,Farmer,Machinery Subsidy,Value Addition In Crops,,,"Agriculture, Farmer, Machinery Subsidy, Value Addition In Crops","Scheme to Encourage Farmers to Add Value to Crops Gujarat The scheme provides financial assistance to farmers across Gujarat in adding value to their crops by providing financial assistance for purchasing machinery. Agriculture, Farmer, Machinery Subsidy, Value Addition In Crops",https://www.myscheme.gov.in/schemes/sefavc
Scheme to Give Incentive-Prize to Gaushala/ Panjrapole,Gujarat,"The ""Scheme to Give Incentive-Prize to Gaushala/ Panjrapole"" focuses on enhancing the management and operation of Gaushalas and Panjrapoles by offering incentive prizes to the top performers.",Agriculture,Animal Husbandry,Incentive,,,,"Agriculture, Animal Husbandry, Incentive","Scheme to Give Incentive-Prize to Gaushala/ Panjrapole Gujarat The ""Scheme to Give Incentive-Prize to Gaushala/ Panjrapole"" focuses on enhancing the management and operation of Gaushalas and Panjrapoles by offering incentive prizes to the top performers. Agriculture, Animal Husbandry, Incentive",https://www.myscheme.gov.in/schemes/sgipgp
Scheme to Increase Seed Replacement Rate (SRR),Gujarat,"The ""Scheme to Increase Seed Replacement Rate (SRR)"" by the Agriculture and Co-operation Department, Government of Gujarat, aims to improve crop productivity through providing certified seeds at subsidized rates to all farmers across the state.",Certified Seeds,Seed Distribution,Seed Replacement Rate,Subsidy,,,"Certified Seeds, Seed Distribution, Seed Replacement Rate, Subsidy","Scheme to Increase Seed Replacement Rate (SRR) Gujarat The ""Scheme to Increase Seed Replacement Rate (SRR)"" by the Agriculture and Co-operation Department, Government of Gujarat, aims to improve crop productivity through providing certified seeds at subsidized rates to all farmers across the state. Certified Seeds, Seed Distribution, Seed Replacement Rate, Subsidy",https://www.myscheme.gov.in/schemes/stisrr
Scheme to Provide Assistance for Construction of Retail Outlets/ Agricultural Malls in State Market Committees,Gujarat,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat. It aims to support market committees in constructing retail outlets and agricultural malls to facilitate direct selling of farmers' produce, ensuring better pricing and increasing farmers' income.",Agricultural Malls,Agriculture,Assistance For Construction,Retail Outlets,,,"Agricultural Malls, Agriculture, Assistance For Construction, Retail Outlets","Scheme to Provide Assistance for Construction of Retail Outlets/ Agricultural Malls in State Market Committees Gujarat This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat. It aims to support market committees in constructing retail outlets and agricultural malls to facilitate direct selling of farmers' produce, ensuring better pricing and increasing farmers' income. Agricultural Malls, Agriculture, Assistance For Construction, Retail Outlets",https://www.myscheme.gov.in/schemes/spacroam
Scheme to Provide Assistance for Setting Up Farmer Support Centers in State Market Committees and for Computerization of All Market Committees,Gujarat,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to establish farmer support centers at market committee levels and computerize all market committees in Gujarat.",Agriculture,Computerization,Farmer Support Centers,Market Committees,,,"Agriculture, Computerization, Farmer Support Centers, Market Committees","Scheme to Provide Assistance for Setting Up Farmer Support Centers in State Market Committees and for Computerization of All Market Committees Gujarat This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to establish farmer support centers at market committee levels and computerize all market committees in Gujarat. Agriculture, Computerization, Farmer Support Centers, Market Committees",https://www.myscheme.gov.in/schemes/spafsg
Scheme to Provide Assistance in Cow Maintenance Expenses to Farmers Practicing Completely Natural Farming Based on Indigenous Cows,Gujarat,This scheme provides financial assistance for the maintenance of one indigenous cow to farmers who practice completely natural farming methods using native cows.,Agriculture,Animal Husbandry,Cattle Development,Natural Farming,,,"Agriculture, Animal Husbandry, Cattle Development, Natural Farming","Scheme to Provide Assistance in Cow Maintenance Expenses to Farmers Practicing Completely Natural Farming Based on Indigenous Cows Gujarat This scheme provides financial assistance for the maintenance of one indigenous cow to farmers who practice completely natural farming methods using native cows. Agriculture, Animal Husbandry, Cattle Development, Natural Farming",https://www.myscheme.gov.in/schemes/smpacmetf
Scheme to Provide Assistance to Processing Units in State Market Committees,Gujarat,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to support market committees in Gujarat by providing financial assistance for the establishment of processing units.",Agriculture,Market Committees,Processing Units,,,,"Agriculture, Market Committees, Processing Units","Scheme to Provide Assistance to Processing Units in State Market Committees Gujarat This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to support market committees in Gujarat by providing financial assistance for the establishment of processing units. Agriculture, Market Committees, Processing Units",https://www.myscheme.gov.in/schemes/apapusmc
Scheme to Provide Assistance to Sate Market Committees as well as Taluka-District Co-operative Purchase and Sale Union to Construct Large Size Warehouse Godowns,Gujarat,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to provide financial assistance to State Market Committees and Taluka-District Co-operative Purchase and Sale Unions for constructing large-sized warehouse godowns",Agriculture,Market Committee,Warehouse Godowns,,,,"Agriculture, Market Committee, Warehouse Godowns","Scheme to Provide Assistance to Sate Market Committees as well as Taluka-District Co-operative Purchase and Sale Union to Construct Large Size Warehouse Godowns Gujarat This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to provide financial assistance to State Market Committees and Taluka-District Co-operative Purchase and Sale Unions for constructing large-sized warehouse godowns Agriculture, Market Committee, Warehouse Godowns",https://www.myscheme.gov.in/schemes/spsmct
Scheme to Provide Financial Assistance to Farmers for Purchasing Sanedo Agricultural Equipment,Gujarat,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to provide financial assistance to farmers for purchasing Sanedo (Mini Tractor) equipment, which enhances efficiency and reduces labor dependency in farming operations.",Agriculture,Farmer,Sanedo Equipment,,,,"Agriculture, Farmer, Sanedo Equipment","Scheme to Provide Financial Assistance to Farmers for Purchasing Sanedo Agricultural Equipment Gujarat This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to provide financial assistance to farmers for purchasing Sanedo (Mini Tractor) equipment, which enhances efficiency and reduces labor dependency in farming operations. Agriculture, Farmer, Sanedo Equipment",https://www.myscheme.gov.in/schemes/spfasae
Scheme to Provide Financial Assistance to Purchase Solar Power Unit/Kit for Solar Fencing around the Farm,Gujarat,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to provide financial assistance to farmers for purchasing solar power units/kits for solar fencing around their farms to protect crops from damage caused by wild and stray animals.",Agriculture,Farmer,Solar Power Unit,,,,"Agriculture, Farmer, Solar Power Unit","Scheme to Provide Financial Assistance to Purchase Solar Power Unit/Kit for Solar Fencing around the Farm Gujarat This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to provide financial assistance to farmers for purchasing solar power units/kits for solar fencing around their farms to protect crops from damage caused by wild and stray animals. Agriculture, Farmer, Solar Power Unit",https://www.myscheme.gov.in/schemes/spatsp
Scheme to Provide Stipend to the Persons With Disabilities of the State for Poultry Training,Gujarat,"The ""Scheme to Provide Stipend to the Persons With Disabilities of the State for Poultry Training"" aims to promote poultry rearing skills among persons with disabilities through a ₹2,000/- stipend for attending a 7-day training program conducted by the Intensive Poultry Development Unit.",Animal Husbandry,Disability Empowerment,Poultry Training,Skill Development,Stipend,,"Animal Husbandry, Disability Empowerment, Poultry Training, Skill Development, Stipend","Scheme to Provide Stipend to the Persons With Disabilities of the State for Poultry Training Gujarat The ""Scheme to Provide Stipend to the Persons With Disabilities of the State for Poultry Training"" aims to promote poultry rearing skills among persons with disabilities through a ₹2,000/- stipend for attending a 7-day training program conducted by the Intensive Poultry Development Unit. Animal Husbandry, Disability Empowerment, Poultry Training, Skill Development, Stipend",https://www.myscheme.gov.in/schemes/spspwdpf
Seed Farms Scheme,Meghalaya,"The objective of the scheme is the production of high-quality seeds of cereals, pulses, oilseeds, etc. and for raising Horticultural seedlings such as orange, coconut, arecanut etc. for distribution to cultivators.",Agriculture,Cultivator,Farmer,Farms,Horticultural Seedlings,Seed,"Agriculture, Cultivator, Farmer, Farms, Horticultural Seedlings, Seed","Seed Farms Scheme Meghalaya The objective of the scheme is the production of high-quality seeds of cereals, pulses, oilseeds, etc. and for raising Horticultural seedlings such as orange, coconut, arecanut etc. for distribution to cultivators. Agriculture, Cultivator, Farmer, Farms, Horticultural Seedlings, Seed",https://www.myscheme.gov.in/schemes/sfs
Seed Grant,Uttarakhand,The scheme aims to provide seeds to farmers at a concessional rate during Kisan Melas with a subsidy of up to 15%.,Agriculture,Farmer,Seed Distribution,Subsidy,,,"Agriculture, Farmer, Seed Distribution, Subsidy","Seed Grant Uttarakhand The scheme aims to provide seeds to farmers at a concessional rate during Kisan Melas with a subsidy of up to 15%. Agriculture, Farmer, Seed Distribution, Subsidy",https://www.myscheme.gov.in/schemes/sdu
"Seed Multiplication Scheme of Paddy, Millets, Pulses, Oilseeds and Cotton",Tamil Nadu,"The “Seed Multiplication Scheme of Paddy, Millets, Pulses, Oilseeds, and Cotton” offers subsidies to farmers to produce seeds under contract with the Department of Agriculture.",Agriculture,Crops,Farmer,Paddy,Seed Multiplication,,"Agriculture, Crops, Farmer, Paddy, Seed Multiplication","Seed Multiplication Scheme of Paddy, Millets, Pulses, Oilseeds and Cotton Tamil Nadu The “Seed Multiplication Scheme of Paddy, Millets, Pulses, Oilseeds, and Cotton” offers subsidies to farmers to produce seeds under contract with the Department of Agriculture. Agriculture, Crops, Farmer, Paddy, Seed Multiplication",https://www.myscheme.gov.in/schemes/smsopm
Seed Testing Laboratory Scheme,Meghalaya,The objective of the scheme is to assist seed testing services to farmers to ensure the viability and purity of seed to be sown.,Agriculture,Farmer,Laboratory,Seed Testing,,,"Agriculture, Farmer, Laboratory, Seed Testing","Seed Testing Laboratory Scheme Meghalaya The objective of the scheme is to assist seed testing services to farmers to ensure the viability and purity of seed to be sown. Agriculture, Farmer, Laboratory, Seed Testing",https://www.myscheme.gov.in/schemes/stlsmeghalaya
Semi-Commercial Duck Farming,Odisha,"The scheme “Semi-Commercial Duck Farming” started under the State Sector Scheme ""Encouragement of Commercial Poultry Entrepreneur and Promotion of Backyard Poultry Production"" to support small entrepreneurs in setting up Duck farms with a capacity of 1000 ducks.",Duck,Entrepreneurs,Farmer,Farming,Subsidy,,"Duck, Entrepreneurs, Farmer, Farming, Subsidy","Semi-Commercial Duck Farming Odisha The scheme “Semi-Commercial Duck Farming” started under the State Sector Scheme ""Encouragement of Commercial Poultry Entrepreneur and Promotion of Backyard Poultry Production"" to support small entrepreneurs in setting up Duck farms with a capacity of 1000 ducks. Duck, Entrepreneurs, Farmer, Farming, Subsidy",https://www.myscheme.gov.in/schemes/scdf
Shednet House,Rajasthan,"The Shednet House provided subsidies to farmers so they could earn more income by cultivating horticultural crops like vegetables, flowers, fruits, etc. by controlling the agro-climatic factors, temperature, humidity, and sunlight.",Agriculture,Farmer,Farming,Shednet House,,,"Agriculture, Farmer, Farming, Shednet House","Shednet House Rajasthan The Shednet House provided subsidies to farmers so they could earn more income by cultivating horticultural crops like vegetables, flowers, fruits, etc. by controlling the agro-climatic factors, temperature, humidity, and sunlight. Agriculture, Farmer, Farming, Shednet House",https://www.myscheme.gov.in/schemes/sh
Sheti Samrudhi Yojana,Goa,"The scheme aims to provide financial assistance to facilitate community level action for agriculture growth and management of natural resources. It offers financial assistance, wages for personnel, and funding for necessary office equipment for Tribal Farmers Co-operative.",Agriculture,Cooperative,Farmer,Rural,Subsidy,Tribal,"Agriculture, Cooperative, Farmer, Rural, Subsidy, Tribal","Sheti Samrudhi Yojana Goa The scheme aims to provide financial assistance to facilitate community level action for agriculture growth and management of natural resources. It offers financial assistance, wages for personnel, and funding for necessary office equipment for Tribal Farmers Co-operative. Agriculture, Cooperative, Farmer, Rural, Subsidy, Tribal",https://www.myscheme.gov.in/schemes/ssy-goa
Sinchai Pipeline Karyakram,Rajasthan,"In ""Sinchai Pipeline Karyakram"" Rajasthan government will provide subsidies to farmers on purchasing irrigation pipelines. So that farmers can get rid of the problem of irrigation. And their income can increase.",Agriculture,Development,Irrigation,Pipe Line,,,"Agriculture, Development, Irrigation, Pipe Line","Sinchai Pipeline Karyakram Rajasthan In ""Sinchai Pipeline Karyakram"" Rajasthan government will provide subsidies to farmers on purchasing irrigation pipelines. So that farmers can get rid of the problem of irrigation. And their income can increase. Agriculture, Development, Irrigation, Pipe Line",https://www.myscheme.gov.in/schemes/spk
Skill Development Programme- Uttarakhand,Uttarakhand,"The scheme aims to enhance the employability and entrepreneurial skills of students, researchers, and farmers in the field of biotechnology, thereby promoting self-employment and entrepreneurship in emerging areas of the biotechnology sector.",Biotechnology,Farmer,Researcher,Skill Development,Student,Training Program,"Biotechnology, Farmer, Researcher, Skill Development, Student, Training Program","Skill Development Programme- Uttarakhand Uttarakhand The scheme aims to enhance the employability and entrepreneurial skills of students, researchers, and farmers in the field of biotechnology, thereby promoting self-employment and entrepreneurship in emerging areas of the biotechnology sector. Biotechnology, Farmer, Researcher, Skill Development, Student, Training Program",https://www.myscheme.gov.in/schemes/sdpuk
Skilled Youth Startup Scheme,Sikkim,Sikkim Skilled Youth Startup Scheme was launched in 2020 and is implemented by the Department of Commerce & Industries which aims at assisting the educated unemployed youth in setting up a myriad of enterprises through loans with back-ended financial subsidy assistance.,Business,Employment,Entrepreneurship,StartUp,Youth,,"Business, Employment, Entrepreneurship, StartUp, Youth","Skilled Youth Startup Scheme Sikkim Sikkim Skilled Youth Startup Scheme was launched in 2020 and is implemented by the Department of Commerce & Industries which aims at assisting the educated unemployed youth in setting up a myriad of enterprises through loans with back-ended financial subsidy assistance. Business, Employment, Entrepreneurship, StartUp, Youth",https://www.myscheme.gov.in/schemes/syss
Soil Health Card Scheme - Uttarakhand,Uttarakhand,"The scheme aims to provide Soil Health Cards to all farmers in the state, helping them understand the nutrient composition of their soil and the type and quantity of fertilizers suitable for their crops.",Agriculture,Farmer,Soil Health,Soil Testing,,,"Agriculture, Farmer, Soil Health, Soil Testing","Soil Health Card Scheme - Uttarakhand Uttarakhand The scheme aims to provide Soil Health Cards to all farmers in the state, helping them understand the nutrient composition of their soil and the type and quantity of fertilizers suitable for their crops. Agriculture, Farmer, Soil Health, Soil Testing",https://www.myscheme.gov.in/schemes/shc
Soil Resource Management and Inputs Quality Control,Puducherry,"Through the scheme “Soil Resource Management and Inputs Quality Control"", the farmers can give their soil and water samples to the soil testing lab for analysis and recommendation at completely free of cost.",Lab,Quality,Sample,Soil,Testing,,"Lab, Quality, Sample, Soil, Testing","Soil Resource Management and Inputs Quality Control Puducherry Through the scheme “Soil Resource Management and Inputs Quality Control"", the farmers can give their soil and water samples to the soil testing lab for analysis and recommendation at completely free of cost. Lab, Quality, Sample, Soil, Testing",https://www.myscheme.gov.in/schemes/srmiqc
Soil Testing Laboratory,Meghalaya,"Agriculture and Farmers' Welfare Department launched the ""Soil Testing Laboratory"" scheme for the farmer on 01 April 2013.",Agriculture,Farmers,Soil Health,,,,"Agriculture, Farmers, Soil Health","Soil Testing Laboratory Meghalaya Agriculture and Farmers' Welfare Department launched the ""Soil Testing Laboratory"" scheme for the farmer on 01 April 2013. Agriculture, Farmers, Soil Health",https://www.myscheme.gov.in/schemes/stl
Solar Home System (Manohar Jyoti),Haryana,"The ""Solar Home System (Manohar Jyoti)"" by the Renewable Energy Department, Government of Haryana, aims to promote renewable energy adoption and ensure sustainable power access through solar solutions. Through this scheme, a subsidized solar home lighting system is provided to families.",Renewable Energy,Solar Home System,Solar Subsidy,,,,"Renewable Energy, Solar Home System, Solar Subsidy","Solar Home System (Manohar Jyoti) Haryana The ""Solar Home System (Manohar Jyoti)"" by the Renewable Energy Department, Government of Haryana, aims to promote renewable energy adoption and ensure sustainable power access through solar solutions. Through this scheme, a subsidized solar home lighting system is provided to families. Renewable Energy, Solar Home System, Solar Subsidy",https://www.myscheme.gov.in/schemes/sms-mj
Solar Inverter Charger,Haryana,"The ""Solar Inverter Charger"" by the Renewable Energy Department, Government of Haryana, aims to promote the use of renewable energy and reduce electricity dependence by providing a subsidy of ₹6,000/- or ₹10,000/- for solar inverter charger systems to eligible households.",Green Energy Initiative,Renewable Energy,Solar Inverter,Subsidy,,,"Green Energy Initiative, Renewable Energy, Solar Inverter, Subsidy","Solar Inverter Charger Haryana The ""Solar Inverter Charger"" by the Renewable Energy Department, Government of Haryana, aims to promote the use of renewable energy and reduce electricity dependence by providing a subsidy of ₹6,000/- or ₹10,000/- for solar inverter charger systems to eligible households. Green Energy Initiative, Renewable Energy, Solar Inverter, Subsidy",https://www.myscheme.gov.in/schemes/sic
Solar Water Heating System (Domestic Sector),Haryana,"The scheme ""Solar Water Heating System (Domestic Sector)"" by the Renewable Energy Department, Haryana, aims to promote the use of solar energy for domestic water heating by providing a financial subsidy to the residents of Haryana and Haryana Government employees residing in Chandigarh.",Green Energy Initiative,Renewable Energy,Solar Energy,Solar Water Heater,,,"Green Energy Initiative, Renewable Energy, Solar Energy, Solar Water Heater","Solar Water Heating System (Domestic Sector) Haryana The scheme ""Solar Water Heating System (Domestic Sector)"" by the Renewable Energy Department, Haryana, aims to promote the use of solar energy for domestic water heating by providing a financial subsidy to the residents of Haryana and Haryana Government employees residing in Chandigarh. Green Energy Initiative, Renewable Energy, Solar Energy, Solar Water Heater",https://www.myscheme.gov.in/schemes/swhsds
